genre,count
soundtrack,451
pop,386
rap,304
country,276
rock,270
soft pop,224
art pop,181
hip hop,149
nu metal,123
dark r&b,119
edm,112
classic rock,104
grunge,104
egyptian pop,102
latin,98
acoustic country,97
k-pop,93
emo rap,93
alternative rock,91
alternative metal,88
metal,86
reggaeton,86
medieval,85
anime,82
r&b,78
urbano latino,74
cloud rap,70
rap metal,69
classic country,66
trap latino,64
old school hip hop,63
east coast hip hop,62
art rock,62
industrial,57
industrial metal,56
industrial rock,56
khaleeji,55
mahraganat,54
indie,53
bedroom pop,52
slap house,52
rage rap,49
latin pop,49
psychedelic rock,49
arabic hip hop,47
egyptian hip hop,46
sholawat,45
hypertechno,44
melodic rap,44
hard rock,43
celtic,40
west coast hip hop,40
pop punk,37
post-grunge,36
witch house,34
hyperpop,34
gangster rap,33
emo,32
garage rock,32
tropical house,30
soft rock,29
darkwave,29
alternative r&b,29
pop country,28
southern gothic,26
baroque pop,25
dream pop,25
nightcore,25
norwegian pop,24
traditional country,24
electronic,23
g-funk,22
christmas,22
honky tonk,21
glam metal,21
punk,21
southern hip hop,20
indie rock,20
neo-psychedelic,20
progressive rock,20
drill,20
new wave,20
neoclassical,17
shoegaze,17
outlaw country,17
singer-songwriter,17
blues rock,16
trap,16
synthpop,16
classical,15
electro house,15
folk,14
moombahton,14
house,14
noise rock,14
folk pop,14
big room,14
afrobeats,14
trap soul,14
post-punk,14
yacht rock,13
madchester,13
trance,13
glam rock,12
slowcore,12
funk rock,12
dubstep,12
hardcore hip hop,12
grime,12
lo-fi indie,12
uk grime,12
synthwave,12
electro,11
heavy metal,11
electroclash,11
indie folk,11
country rock,11
proto-punk,11
uk drill,11
britpop,11
riot grrrl,11
jangle pop,10
surf rock,10
aor,10
japanese classical,10
europop,10
egyptian shaabi,9
eurodance,9
cold wave,9
french pop,9
alternative dance,9
future bass,9
afro house,9
acid rock,9
sea shanties,9
skate punk,9
melodic bass,9
downtempo,9
folk rock,8
trip hop,8
country hip hop,8
electronica,8
motown,8
german hip hop,8
brooklyn drill,8
rap rock,8
trap metal,8
americana,8
bluegrass,8
christian country,8
corridos bélicos,8
corrido,8
corridos tumbados,8
german indie,8
