track_id,track_name,track_number,track_popularity,track_duration_ms,explicit,artist_name,artist_popularity,artist_followers,genre,album_id,album_name,album_release_date,album_total_tracks,album_type,danceability,energy,acousticness,instrumentalness,valence,tempo,speechiness,genre_fixed,text_combined
6pymOcrCnMuCWdgGVTvUgP,3,57,61,213173,False,Britney Spears,80.0,17755451.0,pop,325wcm5wMnlfjmKZ8PXIIn,The Singles Collection,1970,58,compilation,0.697,0.709,0.0452,0.0,0.787,134.91,0.0455,Pop,3 The Singles Collection
2lWc1iJlz2NVcStV5fbtPG,Clouds,1,67,158760,False,BUNT.,69.0,293734.0,stutter house,2ArRQNLxf9t0O0gvmG5Vsj,Clouds,1970,1,single,0.7,0.748,0.226,0.796,0.154,130.056,0.0771,Electronic & Dance,Clouds Clouds
7H0ya83CMmgFcOhw0UB6ow,Space Song,3,77,320466,False,Beach House,72.0,2803036.0,dream pop,194CqC2Zi0kUFEPWedb3qr,Depression Cherry,1970,9,album,,,,,,,,Pop,Space Song Depression Cherry
13jRFAGT8qd6aBwtJySlUm,Allein Allein - BENNETT Remix,1,52,145977,False,Alok,76.0,11247155.0,brazilian bass,1WKoDELzbFRR6UWNGh50LO,Allein Allein (feat. FREY) [BENNETT Remix],1970,2,single,0.568,0.634,0.458,6.51e-05,0.427,150.028,0.104,Electronic & Dance,Allein Allein - BENNETT Remix Allein Allein (feat. FREY) [BENNETT Remix]
13jRFAGT8qd6aBwtJySlUm,Allein Allein - BENNETT Remix,1,52,145977,False,Alok,76.0,11247155.0,electronic,1WKoDELzbFRR6UWNGh50LO,Allein Allein (feat. FREY) [BENNETT Remix],1970,2,single,0.568,0.634,0.458,6.51e-05,0.427,150.028,0.104,Electronic & Dance,Allein Allein - BENNETT Remix Allein Allein (feat. FREY) [BENNETT Remix]
13jRFAGT8qd6aBwtJySlUm,Allein Allein - BENNETT Remix,1,52,145977,False,Alok,76.0,11247155.0,slap house,1WKoDELzbFRR6UWNGh50LO,Allein Allein (feat. FREY) [BENNETT Remix],1970,2,single,0.568,0.634,0.458,6.51e-05,0.427,150.028,0.104,Electronic & Dance,Allein Allein - BENNETT Remix Allein Allein (feat. FREY) [BENNETT Remix]
13jRFAGT8qd6aBwtJySlUm,Allein Allein - BENNETT Remix,1,52,145977,False,Alok,76.0,11247155.0,electro house,1WKoDELzbFRR6UWNGh50LO,Allein Allein (feat. FREY) [BENNETT Remix],1970,2,single,0.568,0.634,0.458,6.51e-05,0.427,150.028,0.104,Electronic & Dance,Allein Allein - BENNETT Remix Allein Allein (feat. FREY) [BENNETT Remix]
0N5zjRnf8AreOm95iSBXF4,Even My Dad Does Sometimes,15,50,228533,False,Ed Sheeran,88.0,122773292.0,soft pop,1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),1970,16,album,0.58,0.318,0.756,0.000171,0.295,129.757,0.0279,Pop,Even My Dad Does Sometimes x (Deluxe Edition)
5JLv62qFIS1DR3zGEcApRt,Wide Awake,15,75,220946,False,Katy Perry,83.0,38385499.0,pop,5BvgP623rtvlc0HDcpzquz,Teenage Dream: The Complete Confection,1970,19,album,0.515,0.683,0.0749,2.64e-06,0.572,159.878,0.0371,Pop,Wide Awake Teenage Dream: The Complete Confection
3LtpKP5abr2qqjunvjlX5i,Doja,1,77,97392,True,Central Cee,79.0,9666661.0,uk drill,6oECjagksATHu2UaclXrq1,Doja,1970,1,single,0.911,0.573,0.38,0.0,0.972,140.04,0.288,Hip Hop & Rap,Doja Doja
